INDMusic Channel Report
July 2014
BUCKWHEATGROATS

Partner Views are: 51060
Non-Ad Requested Views: 748
Partner Revenue is: 23.38834
Partner Ad Enabled Views are: 50312
Partner Thousands of Ad Enabled Views: 50.312
CPM: 0.46486603593576087
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 2.338834
Total Partner Earnings: 21.049506

UGC Views are: 0
UGC Revenue is: 0
UGC Ad Enabled Views are: 0
UGC Thousands of Ad Enabled Views: 0
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 0
Total UGC Earnings: 0

Total Channel Partner Payout: 21.049506

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"AqNMsXqWSeM","Audio-Visual","Web Upload","BUCKWHEAT GROATS - (Take U 2 Da) Shopping Mall","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,863,863,0.0221415
"AqNMsXqWSeM","Audio-Visual","Web Upload","BUCKWHEAT GROATS - (Take U 2 Da) Shopping Mall","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,2,0,0
"DPWbspgv5vE","Audio-Visual","Web Upload","HallowickedShow","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,11,0,0
"DPWbspgv5vE","Audio-Visual","Web Upload","HallowickedShow","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,326,326,0.2373585
"JFRohrsZZO0","Audio-Visual","Web Upload","BWGTomHanks QuickTime H 264","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,17105,17105,10.6595205
"Ga1NLN40loM","Audio-Visual","Web Upload","BUCKWHEAT GROATS - nEw ChAiN fReEsTyLe ***EXCLUSIVE***","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,228,228,0.013354
"Nk92Wy5jLZQ","Audio-Visual","Web Upload","BUCKWHEAT GROATS Get An Old Lady Naked On Live TV - Chris Gethard Show 1/12/12","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,1667,1667,0.236483
"Nk92Wy5jLZQ","Audio-Visual","Web Upload","BUCKWHEAT GROATS Get An Old Lady Naked On Live TV - Chris Gethard Show 1/12/12","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,3,0,0
"Nk92Wy5jLZQ","Audio-Visual","Web Upload","BUCKWHEAT GROATS Get An Old Lady Naked On Live TV - Chris Gethard Show 1/12/12","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,40,0,0
"TH0Wwl0A7QY","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Million Dollar Menu","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,19,0,0
"TH0Wwl0A7QY","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Million Dollar Menu","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,1,0,0
"dGHZjiUCKCI","Audio-Visual","Web Upload","Lil' Dinky Performs Live On Stage As A Turtle - May 11  2012 Madison Square Garden","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,102,102,0.0045705
"Y8UmXKX7plk","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Arbor Day Party","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,824,824,0.06234
"dGHZjiUCKCI","Audio-Visual","Web Upload","Lil' Dinky Performs Live On Stage As A Turtle - May 11  2012 Madison Square Garden","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,102,102,0.0045705
"hKpBbGk202g","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Dinner Table Game","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,654,654,0.020973
"jEeqT0AU5jo","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Nut I Busted (***EXPLICIT UNCENSORED VERSION***)","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,6,0,0
"pRyM1pFYBCA","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Backstage  Webster Hall (""The Walk"")","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,8,0,0
"jEeqT0AU5jo","Audio-Visual","Web Upload","BUCKWHEAT GROATS - Nut I Busted (***EXPLICIT UNCENSORED VERSION***)","PARTNER-PROVIDED",,"","","","BUCKWHEATGROATS",,,365,365,0.016411
