INDMusic Channel Report
June 2014
MILKMAN

Partner Views are: 0
Non-Ad Requested Views: 0
Partner Revenue is: 0
Partner Ad Enabled Views are: 0
Partner Thousands of Ad Enabled Views: undefined
CPM: N/A
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 0
Total Partner Earnings: 0

UGC Views are: 26058
UGC Revenue is: 29.520642000000006
UGC Ad Enabled Views are: 21751
UGC Thousands of Ad Enabled Views: 21.751
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 2.9520642000000006
Total UGC Earnings: 26.568577800000007

Total Channel Partner Payout: 26.568577800000007

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"-IYRCupuXUw","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,21,21,0.002772
"-Nxf683_niI","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,11,11,0.002439
"0N0RIRsbD1w","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0
"0dWICqHZ7bc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,16,16,0
"0dWICqHZ7bc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,0,0
"0riYDZtH-Aw","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"1HQ8RKXd9zM","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,801,801,1.46979
"1q0euk36TtY","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,13,13,0.000128
"2LMrGAHeY7k","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,9,9,0.001701
"4Ayxx6798jQ","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0.000772
"4a8-qAb8IU4","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,0,0
"4czJW6GV46I","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,23,23,0.003557
"4jLr_TvQsUA","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,3,0,0
"53_XBEa-2Q0","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,6,6,0
"58ap0gkpAOc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,15,0,0
"5jsXFJVV30E","Audio","Audio Match","Neon Eyes","UGC","Sound Recording","Milkman","Machines & Dreams","TCABO1392717","MILKMAN",,,3,3,0
"5njQampD2Dw","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,3,3,0
"5njQampD2Dw","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,22,0,0
"5rJcNRX1Gcs","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,5,0,0
"7X_sL83e26c","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,8,8,0.002178
"7jChgo4fqAU","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,7,7,0.000328
"7k3qsQzOkc0","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0
"7zrAkaN9ssc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,179,179,0.005117
"82-tEMWAYgk","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
