Asset ID,Identifier,Asset Type,Title,ISRCs,UPC,Custom ID,Labels,Time Created,Number of Claims,Approx Daily Views
A815239190837639,BPXTH7912849,Sound Recording,myself_15491 - myself,BPXTH7912849,BeatPick,,,Fri Dec 12 12:04:54 PST 2014,1,1
A815298963955090,GBKPL1357894,Sound Recording,A Silver Lining - Michael Neil,GBKPL1357894,5055489276229,,,Thu Jan 08 22:37:41 PST 2015,5,0
A538240932712627,QMPF21200001,Sound Recording,Top of the World - Amy Guess,QMPF21200001,741459675622,,,Mon Dec 15 09:42:21 PST 2014,22,5
A266738610364478,,Sound Recording,Miracle Road (instrumental) - In The Nursery,,,,,Tue Dec 16 07:26:17 PST 2014,492,400
A804462493953187,GBKPL1256432,Sound Recording,Hot Grooves - Monodeluxe,GBKPL1256432,5055489229737,,,Sat Jan 10 09:34:06 PST 2015,14,50
A119150617537581,GBKPL1357898,Sound Recording,Descent - Michael Neil,GBKPL1357898,5055489276229,,,Thu Jan 08 22:41:56 PST 2015,1,0
A976574492081927,QM6MZ1491567,Sound Recording,Last the Evening - Carrie Akre,QM6MZ1491567,688610002265,,,Fri Jan 09 19:40:40 PST 2015,0,0
A415730124922128,,Sound Recording,Writing Bounce - Orange Factory Music,,,,,Tue Dec 16 07:56:26 PST 2014,2,1
A816682008988121,,Sound Recording,In the Face of No Agreement (ITFONA) feat. Mike Devine - MC FÜBB,,,,,Tue Dec 16 07:48:43 PST 2014,0,0
A614004638894254,BPXTH7910435,Sound Recording,crystalkovach_11265 - crystalkovach,BPXTH7910435,BeatPick,,,Fri Dec 12 12:47:04 PST 2014,0,0
A156432703479852,BPXTH7909671,Sound Recording,anewascension_5620 - anewascension,BPXTH7909671,BeatPick,,,Fri Dec 12 10:41:22 PST 2014,42,200
A470399483549730,BPXTH7911620,Sound Recording,izm_6136 - izm,BPXTH7911620,BeatPick,,,Fri Dec 12 10:50:34 PST 2014,1,0
A531816283312280,,Sound Recording,Drumline Ruff1 - Orange Factory Music,,,,,Tue Dec 16 07:49:17 PST 2014,14,1
A132563821549737,QMPF21200002,Sound Recording,Coming up for Air - Amy Guess,QMPF21200002,741459675622,,,Mon Dec 15 10:09:54 PST 2014,8,3
A318582759409870,CMXTH7903905,Sound Recording,06.37_11 Hurt Full.mp3 - CML,CMXTH7903905,Chicago Music Library,,,Sat Dec 20 17:29:38 PST 2014,4,2
A266911366631125,USTC70870573,Sound Recording,Hurricane - David Ross Benson,USTC70870573,859701251781,,,Wed Dec 03 06:14:38 PST 2014,4,1
A870587843011490,USTC60880975,Sound Recording,2013 - Mud Sun,USTC60880975,859701031079,,,Tue Dec 16 14:00:03 PST 2014,272,200
A240292958295603,,Sound Recording,Shin Tiao (instrumental) - In The Nursery,,,,,Tue Dec 16 07:47:05 PST 2014,1,1
A634357569560238,USTC60881002,Sound Recording,Louder 2.0 - Mud Sun,USTC60881002,859701031079,,,Tue Dec 16 13:47:05 PST 2014,4,1
