videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,assetId,customId,writer,chanDispName,tViews,adViews,tEarnings
"DwCAco1qUz8","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"bilal8606",1582,1582,0.687932
"DwCAco1qUz8","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"bilal8606",223,0,0
"DwMy-An-BKQ","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"SFKZ_CH",340,340,0.024155
"DwMy-An-BKQ","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"SFKZ_CH",24,0,0
"FPgmyhkllss","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"NoT Ting",23,23,0
"G-olX744nTM","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"hima Ghaly",7,7,0
"GOAW_msdST8","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"ياسر البصراوي",1,0,0
"GULjXdpQn0c","Audio","Audio Match","So Much for Clockwork","UGC",,"Milkman","Fragments","TCABD1229290","A745027200174136","61850",,"TheVlogBlock",2,2,0.000422
"HtQBuES42Rc","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"Iraki Dragon",1,0,0
"IgoSBrYG2v4","Audio","Audio Match","Sky High","UGC",,"Milkman","Algorithms","TCABP1380611","A943530749007305","182221",,"Thethao12BET",36,0,0
"WbOcLYw4l8c","Audio","Audio Match","The Bottom","UGC",,"Cruel Hand","Lock and Key","TCABK1230914","A402425735976042","113757",,"Guido Romeo",1,1,0
