INDMusic SoundCloud Report
October 2014
rmgcloud

Total Plays are: 865
Total  Revenue is: 11.982400000000002
Per Stream Revenue: 0.01385248554913295
InDMusic Fee is: 2.3964800000000004

Total Partner Payout: 9.585920000000002

trackId,label,trackName,album,artist,isrc,plays,revenue
"142589274","Reflection Music Group","Problem ft. Propaganda, Canon","Keep Up","Chad Jones","TCABU1433172",248,3.4354
"165343875","Reflection Music Group","Trippen (Pre Order 5 Sep 14)","Loose Canon Volume 2","Canon","TCABZ1407890",162,2.2441
"66433182","Reflection Music Group","Loud Music Feat. Derek Minor","Loose Canon Volume 1","Canon","TCABJ1200050",135,1.8701
"166684238","Reflection Music Group","Go Off Instrumental (Produced by Ray Rock)","Loose Canon Vol. 2","Canon","TCABZ1459997",63,0.8727
"154814276","Reflection Music Group","B. Cooper ""1994 (feat. Foure)""","While The City Sleeps","B. Cooper","TCABX1463318",43,0.5957
"98725251","Reflection Music Group","Tony Tillman EP Snippets (Hosted by DJ Pdogg)","The Tillman EP","Tony Tillman","TCABO1348360",35,0.4848
"52386977","Reflection Music Group","Work @getthecanon","Work","Canon","TCABH1213836",32,0.4433
"156753866","Reflection Music Group","1994 (instrumental)Produced by Syksense and Dirty Rice","While The City Sleeps","B. Cooper","TCABX1498705",30,0.4156
"84796872","Reflection Music Group","Flip Flop Status @getthecanon","Flip Flop Status","Canon","TCABL1367758",22,0.3048
"44171759","Reflection Music Group","Reppin' On Em","Reppen on Em","RMG","TCABC1110524",18,0.2493
"79149313","Reflection Music Group","Keep It Real ft. Alex Faith (@tonytillmanrmg) (@rmgtweets) (@alexfaithATL)","Mic Check","Tony Tillman","TCABL1382109",16,0.2216
"57872659","Reflection Music Group","Touche'-@iamchadjones #produced by Swade Beats","Touche'","Chad Jones","TCABI1232708",16,0.2216
"134483274","Reflection Music Group","Deraj ""No Fear (feat. Ginelle Yvonne)""","Mirrors and Medicine","Deraj","TCABT1468590",13,0.1801
"37271471","Reflection Music Group","Geeked Up","Welcome to the Family","RMG","TCABE1244823",13,0.1801
"96270884","Reflection Music Group","Where is #MADHAVEN?","Where is Mad Haven","Canon","TCABQ1326086",10,0.1385
"38806532","Reflection Music Group","Somebody to Love","Welcome To The Family","RMG","TCABE1244756",4,0.0554
"96269574","Reflection Music Group","Tailored","Tailored","Tony Tillman","TCABN1388046",3,0.0416
"54020293","Reflection Music Group","Show Me @TonyTillmanRMG @mynameispro @rmgtweets","Show Me","Show Me","TCABH1281842",2,0.0277
