Asset ID,Identifier,Asset Type,Title,ISRCs,UPC,Custom ID,Labels,Time Created,Number of Claims,Approx Daily Views
A913450437779935,TCABU1402630,Sound Recording,Embrace (WHAMS Remix) - Goldroom,TCABU1402630,,VITALIC,,Thu Mar 06 14:29:48 PST 2014,1,1
A346962673669501,TCABP1380627,Sound Recording,Look Around - Milkman,TCABP1380627,859711083860,THISISMILKMAN,"EDM,Pop",Thu Dec 05 12:22:52 PST 2013,1112,2000
A475274217424645,TCABW1480713,Music Video,Gravity zero - pasko,TCABW1480713,859712495051,aFTMBNQjQZU,,Tue Apr 29 12:28:49 PDT 2014,1,3
A870587843011490,USTC60880975,Sound Recording,2013 - Mud Sun,USTC60880975,859701031079,,,Tue Dec 16 14:00:03 PST 2014,272,200
A148155322740337,TCAAR1089345,Sound Recording,I'm Already Over You - Matt Simons,TCAAR1089345,859704549373,,,Wed Oct 22 02:35:25 PDT 2014,7,3
A721998631517745,TCABD1229235,Sound Recording,Occupy Spotlight - Milkman,TCABD1229235,859707489140,THISISMILKMAN,"EDM,Pop",Thu Jul 04 14:09:57 PDT 2013,22,40
A954038240590225,TUNECORE,Web,Venture - Kalter Schnee | gift rein gift raus,,,TUNECORE,,Mon Mar 03 08:30:05 PST 2014,1,1
A554812621650670,TCAAT1083182,Sound Recording,Hedieh Remix by Masoud Fuladi - Siavash Ghomayshi,"TCAAW1100548,TCAAT1083182",859705101495,212326,,Wed Jan 07 18:29:19 PST 2015,2,40
A415677953358577,TCABO1392723,Sound Recording,My Friends (feat. Tommy Hobson) - Milkman,TCABO1392723,859710854003,THISISMILKMAN,"EDM,Pop",Wed Jul 03 19:34:27 PDT 2013,2,9
A868554593768147,TCABO1392726,Sound Recording,String Theory - Milkman,TCABO1392726,859710854003,THISISMILKMAN,"EDM,Pop",Wed Jul 03 18:48:06 PDT 2013,17,30
A739267178044462,TCABH1206223,Sound Recording,Best Years - Matt Simons,TCABH1206223,859708417227,,,Thu Jan 17 15:36:56 PST 2013,8,40
A174183115756726,TCABP1380617,Sound Recording,Come On - Milkman,TCABP1380617,859711083860,THISISMILKMAN,"EDM,Pop",Thu Dec 05 12:29:27 PST 2013,15,40
A853348831447037,TCAAW1166288,Sound Recording,Secrets - My Body Sings Electric,TCAAW1166288,610563311217,,,Fri Nov 14 08:21:41 PST 2014,5,6
A419946848219929,TCABU1402626,Sound Recording,Embrace (MyKill remix) - Goldroom,TCABU1402626,,VITALIC,,Thu Mar 06 14:29:51 PST 2014,79,1000
A252585800771253,USTC70870522,Sound Recording,Positive Ground - David Ross Benson,USTC70870522,859701251781,,,Wed Dec 03 06:14:32 PST 2014,1,1
A360351866227773,TCAAW1166290,Sound Recording,The Awful Truth - My Body Sings Electric,TCAAW1166290,610563311217,,,Fri Nov 14 08:17:56 PST 2014,2,6
A859835776520863,USTC00975194,Sound Recording,L.C.S. - Dirty Penny,USTC00975194,859702172498,,,Thu Nov 20 11:44:06 PST 2014,5,50
A332563875162634,USTC70870542,Sound Recording,Somewhere Near the Water - David Ross Benson,USTC70870542,859701251781,,,Wed Dec 03 06:16:50 PST 2014,1,0
A352654004697063,TCABJ1225491,Sound Recording,My Aunt Jane - Pádraigín Ní Uallacháin,"USA370639419,TCABJ1225491",,SHANACHIERECORDS,"RandB,SHANACHIE",Mon Jan 13 10:58:49 PST 2014,1,6
A818620065054764,USTC00975185,Sound Recording,In Luv With Insanity - Dirty Penny,USTC00975185,859702172498,,,Thu Nov 20 11:42:31 PST 2014,5,1
A572750702516516,TCABP1380739,Sound Recording,Hustler - Milkman,TCABP1380739,859711084089,THISISMILKMAN,"EDM,Pop",Thu Dec 05 12:24:58 PST 2013,18,1
A522231558868306,TCABL1396918,Sound Recording,Wnasat Wr6a 12 - By - Jv - T5..,TCABL1396918,859709547725,859709547725_TCABL1396918,,Mon Nov 17 13:31:11 PST 2014,0,0
